0 	76.28 	81.05
1 	75.78 	80.49
2 	74.82 	79.52
3 	73.84 	78.54
4 	72.85 	77.55
5 	71.87 	76.56
6 	70.88 	75.57
7 	69.89 	74.58
8 	68.90 	73.58
9 	67.90 	72.59
10 	66.91 	71.60
11 	65.92 	70.60
12 	64.92 	69.61
13 	63.93 	68.62
14 	62.94 	67.63
15 	61.96 	66.64
16 	60.99 	65.65
17 	60.02 	64.67
18 	59.05 	63.68
19 	58.09 	62.70
20 	57.14 	61.72
21 	56.20 	60.75
22 	55.27 	59.77
23 	54.33 	58.80
24 	53.40 	57.82
25 	52.47 	56.85
26 	51.54 	55.88
27 	50.61 	54.91
28 	49.68 	53.94
29 	48.75 	52.97
30 	47.82 	52.01
31 	46.89 	51.04
32 	45.96 	50.08
33 	45.03 	49.11
34 	44.10 	48.15
35 	43.17 	47.19
36 	42.24 	46.23
37 	41.31 	45.28
38 	40.38 	44.33
39 	39.46 	43.37
40 	38.53 	42.43
41 	37.61 	41.48
42 	36.70 	40.54
43 	35.78 	39.60
44 	34.88 	38.66
45 	33.98 	37.73
46 	33.08 	36.81
47 	32.19 	35.89
48 	31.32 	34.97
49 	30.44 	34.06
50 	29.58 	33.16
51 	28.73 	32.27
52 	27.89 	31.38
53 	27.05 	30.49
54 	26.23 	29.62
55 	25.41 	28.74
56 	24.61 	27.88
57 	23.82 	27.01
58 	23.03 	26.16
59 	22.25 	25.31
60 	21.48 	24.46
61 	20.72 	23.62
62 	19.97 	22.78
63 	19.22 	21.95
64 	18.48 	21.13
65 	17.75 	20.32
66 	17.03 	19.52
67 	16.32 	18.73
68 	15.61 	17.95
69 	14.92 	17.18
70 	14.24 	16.43
71 	13.57 	15.68
72 	12.92 	14.95
73 	12.27 	14.23
74 	11.65 	13.53
75 	11.03 	12.83
76 	10.43 	12.16
77 	9.85 	11.50
78 	9.28 	10.86
79 	8.73 	10.24
80 	8.20 	9.64
81 	7.68 	9.05
82 	7.19 	8.48
83 	6.72 	7.94
84 	6.27 	7.42
85 	5.84 	6.92
86 	5.43 	6.44
87 	5.04 	5.99
88 	4.68 	5.57
89 	4.34 	5.17
90 	4.03 	4.80
91 	3.74 	4.45
92 	3.47 	4.13
93 	3.23 	3.84
94 	3.01 	3.57
95 	2.82 	3.34
96 	2.64 	3.12
97 	2.49 	2.93
98 	2.36 	2.76
99 	2.24 	2.60
100 	2.12 	2.45
